config,cuda_graph_max_bs,capture_bs_list,max_running_requests,request_rate,num_prompts,repeat,median_tpot_ms,p99_tpot_ms,median_ttft_ms,output_throughput,completed,startup_seconds,vram_after_ready_mib,model,attention_backend,input_len,output_len,gpu_name,sglang_version,note,timestamp
wide,128,1 2 4 8 12 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128,4096,32,1000,1,5.299132531417498,7.3766329316353865,40.164164965972304,7859.245842089688,1000,50.069542875979096,19390.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,,2026-09-08T10:58:46+00:00
wide,128,1 2 4 8 12 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128,4096,48,1000,0,40.25241993915508,49.718256556054605,63.134226511465386,9230.81576151132,1000,50.069542875979096,19390.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,,2026-09-08T10:59:40+00:00
wide,128,1 2 4 8 12 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128,4096,48,1000,1,35.36239149409583,48.041524485746564,53.7243495346047,8944.666337076553,1000,50.069542875979096,19390.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,,2026-09-08T11:00:35+00:00
wide,128,1 2 4 8 12 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128,4096,56,1000,0,48.202132211778974,53.948882518043995,68.26245502452366,9425.484784239992,1000,50.069542875979096,19390.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,,2026-09-08T11:01:28+00:00
wide,128,1 2 4 8 12 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128,4096,56,1000,1,46.61524535302876,51.92102155195522,71.34956651134416,9671.342573057178,1000,50.069542875979096,19390.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,,2026-09-08T11:02:21+00:00
wide,128,1 2 4 8 12 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128,4096,64,1000,0,54.411156692167786,58.95379961634228,66.17806150461547,9645.195295528865,1000,50.069542875979096,19390.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,,2026-09-08T11:03:14+00:00
wide,128,1 2 4 8 12 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128,4096,64,1000,1,53.454774974471,58.61501571879832,75.30292950104922,9691.39695247499,1000,50.069542875979096,19390.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,,2026-09-08T11:04:07+00:00
wide,128,1 2 4 8 12 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128,4096,72,1000,0,59.7998448079178,65.61718838860271,69.7856489859987,9718.011491407227,1000,50.069542875979096,19390.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,,2026-09-08T11:05:00+00:00
wide,128,1 2 4 8 12 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128,4096,72,1000,1,59.028753278407216,64.48766198392966,66.2169600254856,9781.165964702095,1000,50.069542875979096,19390.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,,2026-09-08T11:05:53+00:00
default,48,1 2 4 8 12 16 24 32 40 48,4096,62,500,0,31.19014259998449,36.73086865925385,53.490951540879905,9092.128333052911,500,49.05959608097328,19392.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,bimodality,2026-09-08T11:08:36+00:00
default,48,1 2 4 8 12 16 24 32 40 48,4096,62,500,1,33.82544622553385,41.26184742226649,55.5553579761181,8954.211611798577,500,49.05959608097328,19392.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,bimodality,2026-09-08T11:09:16+00:00
default,48,1 2 4 8 12 16 24 32 40 48,4096,62,500,2,30.013979886265872,39.498338745548565,53.425688500283286,8842.335185386435,500,49.05959608097328,19392.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,bimodality,2026-09-08T11:09:56+00:00
default,48,1 2 4 8 12 16 24 32 40 48,4096,62,1000,0,49.268370256736404,56.4553921988517,78.43265100382268,9732.155582928639,1000,49.05959608097328,19392.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,bimodality,2026-09-08T11:10:48+00:00
default,48,1 2 4 8 12 16 24 32 40 48,4096,62,1000,1,57.0443967273961,65.01532926084475,70.70145150646567,9289.214715560596,1000,49.05959608097328,19392.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,bimodality,2026-09-08T11:11:41+00:00
default,48,1 2 4 8 12 16 24 32 40 48,4096,62,1000,2,55.34309640586121,59.953137558446656,72.26820098003373,9480.941502187034,1000,49.05959608097328,19392.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,bimodality,2026-09-08T11:12:35+00:00
default,48,1 2 4 8 12 16 24 32 40 48,4096,62,2000,0,85.01904239220653,97.70434687096242,349.3320414854679,9711.369440054972,2000,49.05959608097328,19392.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,bimodality,2026-09-08T11:13:56+00:00
default,48,1 2 4 8 12 16 24 32 40 48,4096,62,2000,1,79.60763103328645,91.37127957837292,271.1564464843832,10023.437138421581,2000,49.05959608097328,19392.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,bimodality,2026-09-08T11:15:16+00:00
default,48,1 2 4 8 12 16 24 32 40 48,4096,62,2000,2,80.96986772736773,93.5197589741723,235.52549199666828,10106.068421723958,2000,49.05959608097328,19392.8125,Qwen/Qwen2.5-0.5B-Instruct,flashinfer,1024,256,NVIDIA GeForce RTX 4090,0.0.0.dev17941+g141febf32,bimodality,2026-09-08T11:16:35+00:00
